2026-08-08 00:00:23.795 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-08-08 00:00:24.437 [Test worker] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2026-08-08 00:00:24.661 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-08-08 00:00:25.214 [Test worker] INFO  c.t.TheSystemApplicationTests - Started TheSystemApplicationTests in 2.322 seconds (process running for 32.888)
2026-08-08 00:00:25.826 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.thesystem.TheSystemApplication for test class com.thesystem.modules.task.controller.TaskControllerIntegrationTest
2026-08-08 00:00:25.853 [Test worker] INFO  c.t.m.t.c.TaskControllerIntegrationTest - Starting TaskControllerIntegrationTest using Java 21.0.12 with PID 191267 (started by naga in /home/naga/Workspace/Projects/THE-SYSTEM/Backend)
2026-08-08 00:00:25.853 [Test worker] DEBUG c.t.m.t.c.TaskControllerIntegrationTest - Running with Spring Boot v3.4.5, Spring v6.2.6
2026-08-08 00:00:25.853 [Test worker] INFO  c.t.m.t.c.TaskControllerIntegrationTest - No active profile set, falling back to 1 default profile: "default"
2026-08-08 00:00:26.098 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-08 00:00:26.132 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 18 JPA repository interfaces.
2026-08-08 00:00:26.548 [Test worker] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-08-08 00:00:26.549 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Starting...
2026-08-08 00:00:26.551 [Test worker] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-6 - Added connection conn50: url=jdbc:h2:mem:thesystem user=SA
2026-08-08 00:00:26.552 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Start completed.
2026-08-08 00:00:26.552 [Test worker] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-08-08 00:00:26.704 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
